provider_email,health_centre_name,provider_time
toby@gmail.com,Sydney Children Hospital,9:00-11:00
toby@gmail.com,UTS Health Service,9:00-11:00
samuel@gmail.com,Prince of Wales Hospital,9:00-11:00
sid@gmail.com,Royal Prince Alfred Hospital,9:00-11:00
michael@gmail.com,USYD Health Service,9:00-11:00
anna@gmail.com,UTS Health Service,9:00-11:00
thomas@gmail.com,Prince of Wales Hospital,9:00-11:00
ian@gmail.com,Sydney Children Hospital,9:00-11:00
gary@gmail.com,Sydney Children Hospital,9:00-11:00
anna@gmail.com,Sydney Children Hospital,9:00-11:00
anna@gmail.com,Prince of Wales Hospital,9:00-11:00
gary@gmail.com,USYD Health Service,9:00-11:00
